y_grad,unit,sex,age,geo,year,value
Total,Number,Females,Total,Bulgaria,2009,6392
Total,Number,Females,Total,Bulgaria,2006,5544
Total,Number,Females,Total,Switzerland,2009,40977
Total,Number,Females,Total,Switzerland,2006,36617
Total,Number,Females,Total,Cyprus,2009,0
Total,Number,Females,Total,Cyprus,2006,528
Total,Number,Females,Total,Germany (until 1990 former territory of the FRG),2009,226140
Total,Number,Females,Total,Germany (until 1990 former territory of the FRG),2006,182510
Total,Number,Females,Total,Denmark,2009,4923
Total,Number,Females,Total,Denmark,2006,508
Total,Number,Females,Total,Estonia,2009,0
Total,Number,Females,Total,Estonia,2006,1029
Total,Number,Females,Total,Finland,2009,8965
Total,Number,Females,Total,Finland,2006,7154
Total,Number,Females,Total,Croatia,2009,3429
Total,Number,Females,Total,Croatia,2006,2891
Total,Number,Females,Total,Hungary,2009,558
Total,Number,Females,Total,Hungary,2006,0
Total,Number,Females,Total,Israel,2009,13153
Total,Number,Females,Total,Israel,2006,0
Total,Number,Females,Total,Iceland,2009,108
Total,Number,Females,Total,Iceland,2006,354
Total,Number,Females,Total,Lithuania,2009,4196
Total,Number,Females,Total,Lithuania,2006,3860
Total,Number,Females,Total,Latvia,2009,1694
Total,Number,Females,Total,Latvia,2006,1603
Total,Number,Females,Total,Malta,2009,118
Total,Number,Females,Total,Malta,2006,0
Total,Number,Females,Total,Netherlands,2009,0
Total,Number,Females,Total,Netherlands,2006,24000
Total,Number,Females,Total,Norway,2009,6174
Total,Number,Females,Total,Norway,2006,4460
Total,Number,Females,Total,Poland,2009,1560
Total,Number,Females,Total,Poland,2006,0
Total,Number,Females,Total,Portugal,2009,808
Total,Number,Females,Total,Portugal,2006,5435
Total,Number,Females,Total,Russia,2009,1343
Total,Number,Females,Total,Russia,2006,0
Total,Number,Females,Total,Sweden,2009,22042
Total,Number,Females,Total,Sweden,2006,18329
Total,Number,Females,Total,Slovenia,2009,2443
Total,Number,Females,Total,Slovenia,2006,0
Total,Number,Females,Total,Turkey,2009,26993
Total,Number,Females,Total,Turkey,2006,0
Total,Number,Females,Total,United States,2009,221300
Total,Number,Females,Total,United States,2006,202100
Total,Number,Females,Unknown,Bulgaria,2009,0
Total,Number,Females,Unknown,Bulgaria,2006,0
Total,Number,Females,Unknown,Germany (until 1990 former territory of the FRG),2009,0
Total,Number,Females,Unknown,Germany (until 1990 former territory of the FRG),2006,0
Total,Number,Females,Unknown,Israel,2009,0
Total,Number,Females,Unknown,Israel,2006,0
Total,Number,Females,Unknown,Lithuania,2009,0
Total,Number,Females,Unknown,Lithuania,2006,0
Total,Number,Females,Unknown,Norway,2009,0
Total,Number,Females,Unknown,Norway,2006,0
Total,Number,Females,Unknown,Poland,2009,0
Total,Number,Females,Unknown,Poland,2006,0
Total,Number,Females,Unknown,Portugal,2009,0
Total,Number,Females,Unknown,Portugal,2006,0
Total,Number,Females,Unknown,Russia,2009,0
Total,Number,Females,Unknown,Russia,2006,0
Total,Number,Females,From 35 to 44 years,Bulgaria,2009,1419
Total,Number,Females,From 35 to 44 years,Bulgaria,2006,1029
Total,Number,Females,From 35 to 44 years,Switzerland,2009,13426
Total,Number,Females,From 35 to 44 years,Switzerland,2006,11480
Total,Number,Females,From 35 to 44 years,Cyprus,2009,0
Total,Number,Females,From 35 to 44 years,Cyprus,2006,176
Total,Number,Females,From 35 to 44 years,Germany (until 1990 former territory of the FRG),2009,66000
Total,Number,Females,From 35 to 44 years,Germany (until 1990 former territory of the FRG),2006,58650
Total,Number,Females,From 35 to 44 years,Denmark,2009,2445
Total,Number,Females,From 35 to 44 years,Denmark,2006,204
Total,Number,Females,From 35 to 44 years,Estonia,2009,0
Total,Number,Females,From 35 to 44 years,Estonia,2006,290
Total,Number,Females,From 35 to 44 years,Finland,2009,2987
Total,Number,Females,From 35 to 44 years,Finland,2006,2410
Total,Number,Females,From 35 to 44 years,Croatia,2009,1166
Total,Number,Females,From 35 to 44 years,Croatia,2006,910
Total,Number,Females,From 35 to 44 years,Hungary,2009,168
Total,Number,Females,From 35 to 44 years,Hungary,2006,0
Total,Number,Females,From 35 to 44 years,Israel,2009,3807
Total,Number,Females,From 35 to 44 years,Israel,2006,0
Total,Number,Females,From 35 to 44 years,Iceland,2009,36
Total,Number,Females,From 35 to 44 years,Iceland,2006,110
Total,Number,Females,From 35 to 44 years,Lithuania,2009,1323
Total,Number,Females,From 35 to 44 years,Lithuania,2006,966
Total,Number,Females,From 35 to 44 years,Latvia,2009,370
Total,Number,Females,From 35 to 44 years,Latvia,2006,253
Total,Number,Females,From 35 to 44 years,Malta,2009,45
Total,Number,Females,From 35 to 44 years,Malta,2006,0
Total,Number,Females,From 35 to 44 years,Netherlands,2009,0
Total,Number,Females,From 35 to 44 years,Netherlands,2006,8000
Total,Number,Females,From 35 to 44 years,Norway,2009,2270
Total,Number,Females,From 35 to 44 years,Norway,2006,1730
Total,Number,Females,From 35 to 44 years,Poland,2009,512
Total,Number,Females,From 35 to 44 years,Poland,2006,0
Total,Number,Females,From 35 to 44 years,Portugal,2009,258
Total,Number,Females,From 35 to 44 years,Portugal,2006,2073
Total,Number,Females,From 35 to 44 years,Russia,2009,268
Total,Number,Females,From 35 to 44 years,Russia,2006,0
Total,Number,Females,From 35 to 44 years,Sweden,2009,7353
Total,Number,Females,From 35 to 44 years,Sweden,2006,5880
Total,Number,Females,From 35 to 44 years,Slovenia,2009,941
